Season Number,Original Air Date,Startup Name,Industry,Business Description,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Invested Guest Name,All Guest Names,Number of Presenters,Male Presenters,Female Presenters,Pitchers Average Age,Pitchers City,Pitchers State
1,2021-12-28,RaisingSuperstars,Children/Education,Child Development App,100.0,2.0,5000.0,1,1.0,100.0,4.0,Ashneer Grover,Ashneer Grover,2,1.0,1.0,Middle,Gurgaon,Haryana
1,2021-12-28,Torch-it,Children/Education,Gadgets for visually impaired people,75.0,1.0,7500.0,1,0.0,,,,Ashneer Grover,1,1.0,,Middle,Ahmedabad,Gujarat
1,2021-12-28,Kavach,Children/Education,Report bullying incidents,5.0,10.0,50.0,1,1.0,5.0,10.0,,Ashneer Grover,2,1.0,1.0,Young,Gurgaon,Haryana
1,2021-12-28,LaKheerDeli,Food and Beverage,Kheer in variety of flavors,50.0,7.5,667.0,1,0.0,,,,Ashneer Grover,3,1.0,2.0,Middle,Pune,Maharashtra
1,2021-12-29,BeyondSnack,Food and Beverage,Kerala Banana Chips,50.0,2.5,2000.0,1,1.0,50.0,2.5,Ashneer Grover,Ashneer Grover,1,1.0,,Middle,Thiruvananthapuram,Kerala
1,2021-12-29,VivalyfInnovations,Medical/Health,Easy Life Prickless Diabetes Testing Machine,56.0,7.5,747.0,1,1.0,56.0,33.33,,Ashneer Grover,2,1.0,1.0,Young,Hyderabad,Telangana
1,2021-12-29,MotionBreeze,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,30.0,3.0,1000.0,1,1.0,30.0,6.0,Ashneer Grover,Ashneer Grover,4,4.0,,Middle,Vadodara,Gujarat
1,2021-12-30,Altor,Manufacturing,Smart Helmets,50.0,5.0,1000.0,1,1.0,50.0,7.0,,Ashneer Grover,4,4.0,,Young,Kolkata,West Bengal
1,2021-12-30,Ariro,Manufacturing,Wooden Toys,50.0,2.5,2000.0,1,1.0,50.0,10.0,,Ashneer Grover,2,1.0,1.0,Young,Chennai,Tamil Nadu
1,2021-12-30,KabiraHandmad,Food and Beverage,Healthy Edible Oils dairy products spices flour,100.0,5.0,2000.0,1,0.0,,,,Ashneer Grover,2,1.0,1.0,Middle,Jaipur,Rajasthan
1,2021-12-31,Nuutjob,Beauty/Fashion,Male Intimate Hygiene deo spray,25.0,5.0,500.0,1,1.0,25.0,20.0,,Ashneer Grover,2,,2.0,Young,Ahmedabad,Gujarat
1,2021-12-31,Meatyour,Food and Beverage,Eggs,30.0,5.0,600.0,1,1.0,30.0,20.0,,Ashneer Grover,3,3.0,,Middle,Pune,Maharashtra
1,2021-12-31,EventBeep,Children/Education,Student Community App EdTech,30.0,2.0,1500.0,1,1.0,30.0,3.0,Ashneer Grover,Ashneer Grover,3,2.0,1.0,Young,Pune,Maharashtra
1,2022-01-03,Gopal's56,Food and Beverage,Fiber Ice Cream,30000.0,25.0,120000.0,0,,,,,Ashneer Grover,1,1.0,,Middle,Delhi,Delhi
1,2022-01-03,ARRCOATSurfaceTextures,Manufacturing,Wall Building Surface Textures,50.0,5.0,1000.0,1,1.0,50.0,15.0,,Ashneer Grover,3,3.0,,Middle,Delhi,Delhi
